Difficulty,Group Name,First Word,Second Word,Third Word,Fourth Word
Yellow,Gen 1 Pokemon Games,Red,Blue,Green,Yellow
Yellow,Cooking Oils,Olive,Avocado,Canola,Vegetable
Yellow,Orbs,Bubble,Globe,Marble,Pearl
Green,Effervescence,Foam,Froth,Head,Lather
Blue,Construct,Build,Grow,Mount,Swell
Purple,Cool,Aces,Neato,Nifty,Keen
Yellow,Small Amount of Food,Bite,Mouthful,Sample,Taste
Green,Natural Covering,Bark,Scales,Shell,Skin
Blue,Extra Virgin Olive Oil,Extra,Virgin,Olive,Oil
Purple,The Shining,Axe,Hedge Maze,Twins,Typewriter
Yellow,Motor Vehicles,Bus,Car,Motorcycle,Truck
Green,Restaurant Workers,Bartender,Chef,Host,Server